Meas_num,Date,Label,ID,Treatment,Area,acini_segment,type,hue,saturation,brightness
3,20190123,20190123-044-10X.jpg,_044,Ambient,154.689,B,zoa,158:185,195:255,85:215
4,20190123,20190123-044-10X.jpg,_044,Ambient,331.766,B,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-044-10X.jpg,_044,Ambient,1065.106,C,total_area,NA,NA,NA
2,20190123,20190123-044-10X.jpg,_044,Ambient,105.588,C,lumen,198:255,120:255,85:255
3,20190123,20190123-044-10X.jpg,_044,Ambient,167.858,C,zoa,158:185,195:255,85:215
4,20190123,20190123-044-10X.jpg,_044,Ambient,459.171,C,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-044-10X.jpg,_044,Ambient,472.699,D,total_area,NA,NA,NA
2,20190123,20190123-044-10X.jpg,_044,Ambient,35.362,D,lumen,198:255,120:255,85:255
3,20190123,20190123-044-10X.jpg,_044,Ambient,91.452,D,zoa,158:185,195:255,85:215
4,20190123,20190123-044-10X.jpg,_044,Ambient,267.761,D,cytes_zoa,158:185,142:255,85:255
1,20190221,20190221-002-10X.jpg,_002,Low,1039.472,A,total_area,NA,NA,NA
2,20190221,20190221-002-10X.jpg,_002,Low,145.398,A,lumen,198:255,120:255,90:215
3,20190221,20190221-002-10X.jpg,_002,Low,376.921,A,zoa,158:185,195:255,90:215
4,20190221,20190221-002-10X.jpg,_002,Low,725.877,A,cytes_zoa,158:195,145:255,90:215
1,20190221,20190221-002-10X.jpg,_002,Low,457.264,B,total_area,NA,NA,NA
2,20190221,20190221-002-10X.jpg,_002,Low,42.747,B,lumen,198:255,120:255,90:215
3,20190221,20190221-002-10X.jpg,_002,Low,257.672,B,zoa,158:185,195:255,90:215
4,20190221,20190221-002-10X.jpg,_002,Low,329.148,B,cytes_zoa,158:195,145:255,90:215
1,20190221,20190221-002-10X.jpg,_002,Low,937.691,C,total_area,NA,NA,NA
2,20190221,20190221-002-10X.jpg,_002,Low,116.284,C,lumen,198:255,120:255,90:215
3,20190221,20190221-002-10X.jpg,_002,Low,240.053,C,zoa,158:185,195:255,90:215
4,20190221,20190221-002-10X.jpg,_002,Low,546.431,C,cytes_zoa,158:195,145:255,90:215
1,20190221,20190221-002-10X.jpg,_002,Low,1142.44,D,total_area,NA,NA,NA
2,20190221,20190221-002-10X.jpg,_002,Low,95.85,D,lumen,198:255,120:255,90:215
3,20190221,20190221-002-10X.jpg,_002,Low,302.295,D,zoa,158:185,195:255,90:215
4,20190221,20190221-002-10X.jpg,_002,Low,738.658,D,cytes_zoa,158:195,145:255,90:215
1,20190221,20190221-007-10X.jpg,_007,Low,377.236,A,total_area,NA,NA,NA
2,20190221,20190221-007-10X.jpg,_007,Low,19.71,A,lumen,198:255,120:255,90:215
3,20190221,20190221-007-10X.jpg,_007,Low,41.513,A,zoa,158:185,195:255,90:215
4,20190221,20190221-007-10X.jpg,_007,Low,210.118,A,cytes_zoa,158:195,145:255,90:215
1,20190221,20190221-007-10X.jpg,_007,Low,244.559,B,total_area,NA,NA,NA
2,20190221,20190221-007-10X.jpg,_007,Low,12.159,B,lumen,198:255,120:255,90:215
3,20190221,20190221-007-10X.jpg,_007,Low,41.592,B,zoa,158:185,195:255,90:215
4,20190221,20190221-007-10X.jpg,_007,Low,145.872,B,cytes_zoa,158:195,145:255,90:215
1,20190221,20190221-007-10X.jpg,_007,Low,241.468,C,total_area,NA,NA,NA
2,20190221,20190221-007-10X.jpg,_007,Low,5.259,C,lumen,198:255,120:255,90:215
3,20190221,20190221-007-10X.jpg,_007,Low,33.92,C,zoa,158:185,195:255,90:215
