date,animal,egg size
20190221,057,11.044
20190221,057,3.016
20190221,057,2.513
20190221,057,16.527
20190221,057,2.98
20190221,057,6.877
20190221,057,21.582
20190221,057,6.62
20190221,057,8.538
20190221,057,5.907
20190221,057,15.886
20190221,057,7.839
20190221,057,7.358
20190221,057,5.591
20190221,057,11.836
20190221,057,2.382
20190221,057,2.355
20190221,057,8.131
20190221,057,11.116
20190221,057,5.378
20190221,057,5.01
20190221,057,11.932
20190221,057,3.258
20190221,057,2.305
20190221,057,11.8
20190221,057,2.642
20190221,057,1.434
20190221,057,2.717
20190221,057,1.604
20190221,057,7.169
20190221,057,4.327
20190221,057,1.628
20190221,057,1.278
20190221,057,9.945
20190221,057,2.824
20190221,057,11.36
20190221,057,23.119
20190221,057,1.479
20190221,057,9.261
20190221,057,5.098
20190221,057,5.072
20190221,057,4.804
20190221,057,8.87
20190221,057,12.549
20190221,057,3.377
20190221,057,14.9
20190221,057,1.089
20190221,057,3.061
20190221,057,7.238
20190221,057,13.294
20190221,057,1.522
20190221,057,7.702
20190221,057,6.089
20190221,057,4.935
20190221,057,1.699
20190221,057,11.616
20190221,057,14.471
20190221,057,9.778
20190221,057,5.115
20190221,057,14.433
20190221,057,2.082
20190221,057,3.473
20190221,057,12.133
20190221,057,2.475
20190221,057,1.742
20190221,057,4.979
20190221,057,3.495
20190221,057,11.463
20190221,057,1.273
20190221,057,17.987
20190221,057,12.714
20190221,057,1.249
20190221,057,3.705
20190221,057,1.044
20190221,057,15.39
20190221,057,4.969
20190221,057,2.973
20190221,057,16.123
20190221,057,8.349
20190221,057,2.496
20190221,057,7.654
20190221,057,1.415
20190221,057,6.522
20190221,057,2.365
20190221,057,1.963
20190221,057,5.297
20190221,057,7.858
20190221,057,2.441
20190221,057,8.935
20190221,057,2.245
20190221,057,5.108
20190221,057,2.64
20190221,057,19.146
20190221,057,1.465
20190221,057,8.116
20190221,057,5.991
20190221,057,7.226
20190221,057,5.527
20190221,057,4.706
20190221,057,5.546
20190221,057,5.091
20190221,057,5.601
20190221,057,10.742
20190221,057,7.023
20190221,057,4.213
20190221,057,5.141
20190221,057,4.687
20190221,057,4.191
20190221,057,4.129
20190221,057,4.383
20190221,057,15.41
20190221,057,3.904
20190221,057,2.922
20190221,057,4.265
20190221,057,7.966
20190221,057,7.126
20190221,057,9.428
20190221,057,14.83
20190221,057,5.393
20190221,057,2.59
20190221,057,11.858
20190221,057,6.774
20190221,057,2.554
20190221,057,5.694
20190221,057,2.394
20190221,057,1.273
20190221,057,5.237
20190221,057,6.245
20190221,057,6.855
20190221,057,17.322
20190221,057,4.268
20190221,057,4.134
20190221,057,4.129
20190221,057,14.141
20190221,057,6.35
20190221,057,5.199
20190221,057,22.353
20190221,059,4.962
20190221,059,10.661
20190221,059,5.56
20190221,059,2.391
20190221,059,4.801
20190221,059,4.244
20190221,059,18.796
20190221,059,16.499
20190221,059,9.995
20190221,059,19.706
20190221,059,16.903
20190221,059,12.559
20190221,059,26.659
20190221,059,26.104
20190221,059,1.249
20190221,059,3.995
20190221,059,17.408
20190221,059,16.111
20190221,059,1.635
20190221,059,9.459
20190221,059,25.252
20190221,059,20.158
20190221,059,4.701
20190221,059,7.437
20190221,059,1.819
20190221,059,16.774
20190221,059,11.364
20190221,059,20.007
20190221,059,20.331
20190221,059,3.121
20190221,059,13.241
20190221,059,7.92
20190221,059,16.252
20190221,059,13.732
20190221,059,6.106
20190221,059,2.532
20190221,059,23.684
20190221,059,20.86
20190221,059,14.06
20190221,059,14.802
20190221,059,24.227
20190221,059,12.056
20190221,059,3.236
20190221,059,5.835
20190221,059,18.99
20190221,059,8.203
20190221,059,8.411
20190221,059,2.2
20190221,059,19.919
20190221,059,1.879
20190221,059,7.628
20190221,059,19.615
20190221,059,2.037
20190221,059,29.036
20190221,059,17.767
20190221,059,16.056
20190221,059,13.954
20190221,059,14.366
20190221,059,9.107
20190221,059,22.614
20190221,059,8.126
20190221,059,3.964
20190221,059,15
20190221,059,14.663
20190221,059,5.847
20190221,059,11.716
20190221,059,7.93
20190221,059,23.94
20190221,059,8.667
20190221,059,7.891
20190221,059,15.67
20190221,059,14.151
20190221,059,11.341
20190221,059,2.911
20190221,059,6.47
20190221,059,11.968
20190221,059,19.187
20190221,059,12.856
20190221,059,16.594
20190221,059,14.634
20190221,059,1.474
20190221,059,20.06
20190221,059,17.035
20190221,059,1.601
20190221,059,18.346
20190221,059,17.241
20190221,059,17.681
20190221,059,5.9
20190221,059,3.49
20190221,059,1.3
20190221,059,19.83
20190221,059,2.305
20190221,059,4.091
20190221,059,23.215
20190221,059,11.884
20190221,059,3.195
20190221,059,15.185
20190221,059,20.185
20190221,059,22.99
20190221,059,22.456
20190221,059,15.771
20190221,059,22.229
20190221,059,8.736
20190221,059,22.25
20190221,059,7.085
20190221,059,12.157
20190221,059,4.39
20190221,059,15.855
20190221,059,17.085
20190221,059,16.039
20190221,059,6.565
20190221,059,6.632
20190221,059,15.831
