"Date","Tank","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
20181112,"20181112_TANK3","amb",30.09,9.88,7.6610978168835,44.6762325001591,989.68190350746,1979.97790483807,49.05954250393,2073.71367984216,2102.421579,0.755867826034152
20181112,"20181112_TANK4","amb",30.13,9.87,7.66123918729136,44.7011006888079,990.132227699031,1982.05812179871,49.1577673173437,2075.91698980486,2104.743178,0.75729535331391
20181112,"20181112_TANK4","amb",30.13,9.87,7.66123918729136,44.6368953092835,988.710068595322,1979.21123901533,49.0871607090377,2072.93529503365,2101.755082,0.756207629861415
20181112,"20181112_TANK4","amb",30.14,9.46,7.70627492765143,40.5042125167898,885.053616920543,1971.43697981808,53.3815802956263,2065.3227726305,2104.743178,0.821636694843757
20181112,"20181112_TANK4","amb",30.14,9.46,7.70627492765143,40.4459743937856,883.781056645033,1968.60239096444,53.3048267224485,2062.35319208067,2101.755082,0.820455321946327
20181116,"20181116_TANK1","low",30.24,9.58,6.83613603284901,319.511108557203,7013.85617202836,2105.90482348865,7.74579577912507,2433.16172782498,2125.049935,0.119223832552958
20181116,"20181116_TANK1","low",30.24,9.58,6.83613603284901,319.734569859204,7018.76170128732,2107.37766190066,7.75121307312042,2434.86344483298,2126.533608,0.119307215922545
20181116,"20181116_TANK2","low",30.29,9.57,6.81490072596236,335.527161691858,7365.115991338,2106.50231466401,7.38471485455356,2449.41419121042,2124.740979,0.113650501069285
20181116,"20181116_TANK2","low",30.29,9.57,6.81490072596236,336.127613205435,7378.29683314498,2110.27206164013,7.39793036649421,2453.79760521206,2128.537157,0.113853887331791
20181116,"20181116_TANK3","amb",30.3,9.61,7.70545512361437,40.4840904645076,889.874700392601,1977.73414660821,53.9869385837605,2072.20517565647,2112.514479,0.830906420264699
20181116,"20181116_TANK3","amb",30.3,9.61,7.70545512361437,40.5318814612038,890.925191006871,1980.06883870533,54.0506695352008,2074.65138970173,2114.976633,0.831887295604372
20181116,"20181116_TANK4","amb",30.3,9.6,7.70029453749887,40.9675001419752,900.200367313769,1977.19795770165,53.3137519885705,2071.47920983219,2110.329215,0.820528492000688
20181116,"20181116_TANK4","amb",30.3,9.6,7.70029453749887,40.9810004767668,900.497018366223,1977.84951892178,53.331320878504,2072.16184027705,2111.015914,0.8207988870531
20181119,"20181119_TANK1","low",30.04,8.32,6.85953183362712,313.85360814125,6595.51660816934,2107.86959702834,7.74516043831592,2429.46836560791,2127.046572,0.118972369784557
20181119,"20181119_TANK1","low",30.04,8.32,6.85953183362712,313.57182335596,6589.59484218369,2105.9771045847,7.73820666013865,2427.28713460079,2125.140172,0.118865553731449
20181119,"20181119_TANK2","low",30.08,8.33,6.78065770936217,376.867688662051,7924.31574928533,2112.1822932746,6.48124874499853,2495.53123068165,2128.165126,0.0995511717645332
